最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
626,626,349,10188,河南,物理类,2024,750,传统文理
625,625,404,10592,河南,物理类,2024,750,传统文理
624,624,370,10962,河南,物理类,2024,750,传统文理
623,623,401,11363,河南,物理类,2024,750,传统文理
622,622,404,11767,河南,物理类,2024,750,传统文理
621,621,437,12204,河南,物理类,2024,750,传统文理
618,618,1271,13475,河南,物理类,2024,750,传统文理
617,617,466,13941,河南,物理类,2024,750,传统文理
616,616,455,14396,河南,物理类,2024,750,传统文理
615,615,495,14891,河南,物理类,2024,750,传统文理
614,614,511,15402,河南,物理类,2024,750,传统文理
613,613,511,15913,河南,物理类,2024,750,传统文理
612,612,575,16488,河南,物理类,2024,750,传统文理
611,611,494,16982,河南,物理类,2024,750,传统文理
610,610,537,17519,河南,物理类,2024,750,传统文理
609,609,540,18059,河南,物理类,2024,750,传统文理
608,608,583,18642,河南,物理类,2024,750,传统文理
607,607,614,19256,河南,物理类,2024,750,传统文理
602,602,3080,22336,河南,物理类,2024,750,传统文理
601,601,627,22963,河南,物理类,2024,750,传统文理
600,600,675,23638,河南,物理类,2024,750,传统文理
599,599,671,24309,河南,物理类,2024,750,传统文理
598,598,740,25049,河南,物理类,2024,750,传统文理
595,595,2165,27214,河南,物理类,2024,750,传统文理
593,593,1423,28637,河南,物理类,2024,750,传统文理
592,592,732,29369,河南,物理类,2024,750,传统文理
591,591,754,30123,河南,物理类,2024,750,传统文理
590,590,764,30887,河南,物理类,2024,750,传统文理
589,589,793,31680,河南,物理类,2024,750,传统文理
588,588,848,32528,河南,物理类,2024,750,传统文理
587,587,855,33383,河南,物理类,2024,750,传统文理
586,586,847,34230,河南,物理类,2024,750,传统文理
585,585,836,35066,河南,物理类,2024,750,传统文理
584,584,882,35948,河南,物理类,2024,750,传统文理
583,583,893,36841,河南,物理类,2024,750,传统文理
580,580,2764,39605,河南,物理类,2024,750,传统文理
578,578,1904,41509,河南,物理类,2024,750,传统文理
577,577,936,42445,河南,物理类,2024,750,传统文理
576,576,1014,43459,河南,物理类,2024,750,传统文理
575,575,1004,44463,河南,物理类,2024,750,传统文理
574,574,993,45456,河南,物理类,2024,750,传统文理
573,573,1057,46513,河南,物理类,2024,750,传统文理
570,570,3053,49566,河南,物理类,2024,750,传统文理
569,569,1076,50642,河南,物理类,2024,750,传统文理
568,568,1044,51686,河南,物理类,2024,750,传统文理
567,567,1035,52721,河南,物理类,2024,750,传统文理
566,566,1188,53909,河南,物理类,2024,750,传统文理
565,565,1126,55035,河南,物理类,2024,750,传统文理
564,564,1154,56189,河南,物理类,2024,750,传统文理
563,563,1092,57281,河南,物理类,2024,750,传统文理
562,562,1119,58400,河南,物理类,2024,750,传统文理
561,561,1179,59579,河南,物理类,2024,750,传统文理
560,560,1166,60745,河南,物理类,2024,750,传统文理
559,559,1194,61939,河南,物理类,2024,750,传统文理
557,557,2374,64313,河南,物理类,2024,750,传统文理
555,555,2497,66810,河南,物理类,2024,750,传统文理
554,554,1240,68050,河南,物理类,2024,750,传统文理
553,553,1292,69342,河南,物理类,2024,750,传统文理
552,552,1260,70602,河南,物理类,2024,750,传统文理
551,551,1249,71851,河南,物理类,2024,750,传统文理
550,550,1257,73108,河南,物理类,2024,750,传统文理
549,549,1301,74409,河南,物理类,2024,750,传统文理
548,548,1277,75686,河南,物理类,2024,750,传统文理
547,547,1316,77002,河南,物理类,2024,750,传统文理
546,546,1337,78339,河南,物理类,2024,750,传统文理
545,545,1316,79655,河南,物理类,2024,750,传统文理
544,544,1297,80952,河南,物理类,2024,750,传统文理
543,543,1388,82340,河南,物理类,2024,750,传统文理
542,542,1332,83672,河南,物理类,2024,750,传统文理
541,541,1319,84991,河南,物理类,2024,750,传统文理
540,540,1333,86324,河南,物理类,2024,750,传统文理
537,537,4304,90628,河南,物理类,2024,750,传统文理
536,536,1402,92030,河南,物理类,2024,750,传统文理
535,535,1421,93451,河南,物理类,2024,750,传统文理
534,534,1443,94894,河南,物理类,2024,750,传统文理
533,533,1485,96379,河南,物理类,2024,750,传统文理
532,532,1458,97837,河南,物理类,2024,750,传统文理
531,531,1462,99299,河南,物理类,2024,750,传统文理
530,530,1438,100737,河南,物理类,2024,750,传统文理
529,529,1474,102211,河南,物理类,2024,750,传统文理
528,528,1463,103674,河南,物理类,2024,750,传统文理
527,527,1486,105160,河南,物理类,2024,750,传统文理
526,526,1450,106610,河南,物理类,2024,750,传统文理
520,520,9220,115830,河南,物理类,2024,750,传统文理
519,519,1551,117381,河南,物理类,2024,750,传统文理
518,518,1616,118997,河南,物理类,2024,750,传统文理
517,517,1586,120583,河南,物理类,2024,750,传统文理
514,514,4696,125279,河南,物理类,2024,750,传统文理
512,512,3303,128582,河南,物理类,2024,750,传统文理
511,511,1613,130195,河南,物理类,2024,750,传统文理
510,510,1525,131720,河南,物理类,2024,750,传统文理
509,509,1539,133259,河南,物理类,2024,750,传统文理
508,508,1644,134903,河南,物理类,2024,750,传统文理
507,507,1580,136483,河南,物理类,2024,750,传统文理
506,506,1636,138119,河南,物理类,2024,750,传统文理
505,505,1589,139708,河南,物理类,2024,750,传统文理
504,504,1584,141292,河南,物理类,2024,750,传统文理
503,503,1643,142935,河南,物理类,2024,750,传统文理
502,502,1646,144581,河南,物理类,2024,750,传统文理
499,499,4912,149493,河南,物理类,2024,750,传统文理
497,497,3235,152728,河南,物理类,2024,750,传统文理
496,496,1607,154335,河南,物理类,2024,750,传统文理
495,495,1671,156006,河南,物理类,2024,750,传统文理
494,494,1646,157652,河南,物理类,2024,750,传统文理
493,493,1691,159343,河南,物理类,2024,750,传统文理
492,492,1672,161015,河南,物理类,2024,750,传统文理
489,489,4943,165958,河南,物理类,2024,750,传统文理
488,488,1650,167608,河南,物理类,2024,750,传统文理
487,487,1763,169371,河南,物理类,2024,750,传统文理
486,486,1632,171003,河南,物理类,2024,750,传统文理
485,485,1728,172731,河南,物理类,2024,750,传统文理
484,484,1752,174483,河南,物理类,2024,750,传统文理
483,483,1687,176170,河南,物理类,2024,750,传统文理
482,482,1760,177930,河南,物理类,2024,750,传统文理
481,481,1697,179627,河南,物理类,2024,750,传统文理
480,480,1741,181368,河南,物理类,2024,750,传统文理
479,479,1689,183057,河南,物理类,2024,750,传统文理
478,478,1756,184813,河南,物理类,2024,750,传统文理
476,476,3438,188251,河南,物理类,2024,750,传统文理
474,474,3518,191769,河南,物理类,2024,750,传统文理
473,473,1690,193459,河南,物理类,2024,750,传统文理
472,472,1719,195178,河南,物理类,2024,750,传统文理
471,471,1722,196900,河南,物理类,2024,750,传统文理
470,470,1802,198702,河南,物理类,2024,750,传统文理
469,469,1811,200513,河南,物理类,2024,750,传统文理
468,468,1751,202264,河南,物理类,2024,750,传统文理
467,467,1730,203994,河南,物理类,2024,750,传统文理
466,466,1775,205769,河南,物理类,2024,750,传统文理
465,465,1689,207458,河南,物理类,2024,750,传统文理
464,464,1791,209249,河南,物理类,2024,750,传统文理
463,463,1759,211008,河南,物理类,2024,750,传统文理
462,462,1750,212758,河南,物理类,2024,750,传统文理
461,461,1639,214397,河南,物理类,2024,750,传统文理
460,460,1812,216209,河南,物理类,2024,750,传统文理
455,455,8878,225087,河南,物理类,2024,750,传统文理
454,454,1810,226897,河南,物理类,2024,750,传统文理
453,453,1778,228675,河南,物理类,2024,750,传统文理
452,452,1762,230437,河南,物理类,2024,750,传统文理
451,451,1805,232242,河南,物理类,2024,750,传统文理
450,450,1769,234011,河南,物理类,2024,750,传统文理
449,449,1768,235779,河南,物理类,2024,750,传统文理
448,448,1804,237583,河南,物理类,2024,750,传统文理
447,447,1750,239333,河南,物理类,2024,750,传统文理
446,446,1846,241179,河南,物理类,2024,750,传统文理
439,439,12521,253700,河南,物理类,2024,750,传统文理
438,438,1755,255455,河南,物理类,2024,750,传统文理
437,437,1817,257272,河南,物理类,2024,750,传统文理
436,436,1864,259136,河南,物理类,2024,750,传统文理
433,433,5494,264630,河南,物理类,2024,750,传统文理
431,431,3556,268186,河南,物理类,2024,750,传统文理
430,430,1727,269913,河南,物理类,2024,750,传统文理
429,429,1803,271716,河南,物理类,2024,750,传统文理
428,428,1760,273476,河南,物理类,2024,750,传统文理
427,427,1790,275266,河南,物理类,2024,750,传统文理
426,426,1782,277048,河南,物理类,2024,750,传统文理
425,425,1807,278855,河南,物理类,2024,750,传统文理
424,424,1757,280612,河南,物理类,2024,750,传统文理
423,423,1825,282437,河南,物理类,2024,750,传统文理
422,422,1798,284235,河南,物理类,2024,750,传统文理
418,418,7053,291288,河南,物理类,2024,750,传统文理
416,416,3534,294822,河南,物理类,2024,750,传统文理
415,415,1712,296534,河南,物理类,2024,750,传统文理
414,414,1743,298277,河南,物理类,2024,750,传统文理
413,413,1757,300034,河南,物理类,2024,750,传统文理
412,412,1765,301799,河南,物理类,2024,750,传统文理
411,411,1769,303568,河南,物理类,2024,750,传统文理
408,408,5224,308792,河南,物理类,2024,750,传统文理
407,407,1779,310571,河南,物理类,2024,750,传统文理
406,406,1743,312314,河南,物理类,2024,750,传统文理
405,405,1766,314080,河南,物理类,2024,750,传统文理
404,404,1732,315812,河南,物理类,2024,750,传统文理
403,403,1788,317600,河南,物理类,2024,750,传统文理
402,402,1691,319291,河南,物理类,2024,750,传统文理
401,401,1689,320980,河南,物理类,2024,750,传统文理
400,400,1670,322650,河南,物理类,2024,750,传统文理
399,399,1750,324400,河南,物理类,2024,750,传统文理
398,398,1747,326147,河南,物理类,2024,750,传统文理
397,397,1701,327848,河南,物理类,2024,750,传统文理
396,396,1725,329573,河南,物理类,2024,750,传统文理
395,395,1752,331325,河南,物理类,2024,750,传统文理
393,393,3361,334686,河南,物理类,2024,750,传统文理
392,392,1757,336443,河南,物理类,2024,750,传统文理
391,391,1695,338138,河南,物理类,2024,750,传统文理
390,390,1670,339808,河南,物理类,2024,750,传统文理
389,389,1604,341412,河南,物理类,2024,750,传统文理
388,388,1685,343097,河南,物理类,2024,750,传统文理
387,387,1716,344813,河南,物理类,2024,750,传统文理
386,386,1672,346485,河南,物理类,2024,750,传统文理
385,385,1697,348182,河南,物理类,2024,750,传统文理
384,384,1664,349846,河南,物理类,2024,750,传统文理
383,383,1680,351526,河南,物理类,2024,750,传统文理
382,382,1662,353188,河南,物理类,2024,750,传统文理
381,381,1598,354786,河南,物理类,2024,750,传统文理
380,380,1626,356412,河南,物理类,2024,750,传统文理
379,379,1592,358004,河南,物理类,2024,750,传统文理
374,374,7901,365905,河南,物理类,2024,750,传统文理
373,373,1680,367585,河南,物理类,2024,750,传统文理
372,372,1574,369159,河南,物理类,2024,750,传统文理
371,371,1584,370743,河南,物理类,2024,750,传统文理
370,370,1607,372350,河南,物理类,2024,750,传统文理
369,369,1542,373892,河南,物理类,2024,750,传统文理
368,368,1617,375509,河南,物理类,2024,750,传统文理
367,367,1556,377065,河南,物理类,2024,750,传统文理
366,366,1576,378641,河南,物理类,2024,750,传统文理
365,365,1548,380189,河南,物理类,2024,750,传统文理
364,364,1566,381755,河南,物理类,2024,750,传统文理
358,358,9287,391042,河南,物理类,2024,750,传统文理
357,357,1526,392568,河南,物理类,2024,750,传统文理
356,356,1484,394052,河南,物理类,2024,750,传统文理
355,355,1488,395540,河南,物理类,2024,750,传统文理
352,352,4512,400052,河南,物理类,2024,750,传统文理
350,350,2945,402997,河南,物理类,2024,750,传统文理
349,349,1494,404491,河南,物理类,2024,750,传统文理
348,348,1441,405932,河南,物理类,2024,750,传统文理
347,347,1462,407394,河南,物理类,2024,750,传统文理
346,346,1475,408869,河南,物理类,2024,750,传统文理
345,345,1459,410328,河南,物理类,2024,750,传统文理
344,344,1527,411855,河南,物理类,2024,750,传统文理
343,343,1455,413310,河南,物理类,2024,750,传统文理
342,342,1419,414729,河南,物理类,2024,750,传统文理
341,341,1393,416122,河南,物理类,2024,750,传统文理
340,340,1455,417577,河南,物理类,2024,750,传统文理
337,337,4260,421837,河南,物理类,2024,750,传统文理
335,335,2850,424687,河南,物理类,2024,750,传统文理
334,334,1428,426115,河南,物理类,2024,750,传统文理
333,333,1391,427506,河南,物理类,2024,750,传统文理
332,332,1370,428876,河南,物理类,2024,750,传统文理
331,331,1467,430343,河南,物理类,2024,750,传统文理
330,330,1326,431669,河南,物理类,2024,750,传统文理
327,327,3977,435646,河南,物理类,2024,750,传统文理
326,326,1357,437003,河南,物理类,2024,750,传统文理
325,325,1279,438282,河南,物理类,2024,750,传统文理
324,324,1358,439640,河南,物理类,2024,750,传统文理
323,323,1280,440920,河南,物理类,2024,750,传统文理
322,322,1350,442270,河南,物理类,2024,750,传统文理
321,321,1249,443519,河南,物理类,2024,750,传统文理
320,320,1282,444801,河南,物理类,2024,750,传统文理
319,319,1275,446076,河南,物理类,2024,750,传统文理
318,318,1331,447407,河南,物理类,2024,750,传统文理
317,317,1208,448615,河南,物理类,2024,750,传统文理
316,316,1281,449896,河南,物理类,2024,750,传统文理
315,315,1191,451087,河南,物理类,2024,750,传统文理
314,314,1251,452338,河南,物理类,2024,750,传统文理
312,312,2489,454827,河南,物理类,2024,750,传统文理
311,311,1259,456086,河南,物理类,2024,750,传统文理
310,310,1193,457279,河南,物理类,2024,750,传统文理
309,309,1218,458497,河南,物理类,2024,750,传统文理
308,308,1241,459738,河南,物理类,2024,750,传统文理
307,307,1166,460904,河南,物理类,2024,750,传统文理
306,306,1178,462082,河南,物理类,2024,750,传统文理
305,305,1200,463282,河南,物理类,2024,750,传统文理
304,304,1218,464500,河南,物理类,2024,750,传统文理
303,303,1197,465697,河南,物理类,2024,750,传统文理
302,302,1176,466873,河南,物理类,2024,750,传统文理
301,301,1087,467960,河南,物理类,2024,750,传统文理
300,300,1121,469081,河南,物理类,2024,750,传统文理
299,299,1105,470186,河南,物理类,2024,750,传统文理
298,298,1092,471278,河南,物理类,2024,750,传统文理
293,293,5607,476885,河南,物理类,2024,750,传统文理
292,292,1125,478010,河南,物理类,2024,750,传统文理
291,291,1056,479066,河南,物理类,2024,750,传统文理
290,290,1063,480129,河南,物理类,2024,750,传统文理
289,289,1073,481202,河南,物理类,2024,750,传统文理
288,288,1027,482229,河南,物理类,2024,750,传统文理
287,287,1031,483260,河南,物理类,2024,750,传统文理
286,286,1034,484294,河南,物理类,2024,750,传统文理
285,285,1064,485358,河南,物理类,2024,750,传统文理
284,284,1000,486358,河南,物理类,2024,750,传统文理
277,277,7085,493443,河南,物理类,2024,750,传统文理
276,276,981,494424,河南,物理类,2024,750,传统文理
275,275,961,495385,河南,物理类,2024,750,传统文理
274,274,951,496336,河南,物理类,2024,750,传统文理
271,271,2899,499235,河南,物理类,2024,750,传统文理
269,269,1909,501144,河南,物理类,2024,750,传统文理
268,268,935,502079,河南,物理类,2024,750,传统文理
267,267,1003,503082,河南,物理类,2024,750,传统文理
266,266,955,504037,河南,物理类,2024,750,传统文理
265,265,892,504929,河南,物理类,2024,750,传统文理
264,264,929,505858,河南,物理类,2024,750,传统文理
263,263,886,506744,河南,物理类,2024,750,传统文理
262,262,842,507586,河南,物理类,2024,750,传统文理
261,261,907,508493,河南,物理类,2024,750,传统文理
260,260,863,509356,河南,物理类,2024,750,传统文理
256,256,3605,512961,河南,物理类,2024,750,传统文理
254,254,1640,514601,河南,物理类,2024,750,传统文理
253,253,842,515443,河南,物理类,2024,750,传统文理
252,252,817,516260,河南,物理类,2024,750,传统文理
251,251,827,517087,河南,物理类,2024,750,传统文理
250,250,802,517889,河南,物理类,2024,750,传统文理
249,249,789,518678,河南,物理类,2024,750,传统文理
246,246,2479,521157,河南,物理类,2024,750,传统文理
245,245,820,521977,河南,物理类,2024,750,传统文理
244,244,800,522777,河南,物理类,2024,750,传统文理
243,243,776,523553,河南,物理类,2024,750,传统文理
242,242,759,524312,河南,物理类,2024,750,传统文理
241,241,806,525118,河南,物理类,2024,750,传统文理
240,240,734,525852,河南,物理类,2024,750,传统文理
239,239,808,526660,河南,物理类,2024,750,传统文理
238,238,793,527453,河南,物理类,2024,750,传统文理
237,237,783,528236,河南,物理类,2024,750,传统文理
236,236,750,528986,河南,物理类,2024,750,传统文理
235,235,735,529721,河南,物理类,2024,750,传统文理
233,233,1491,531212,河南,物理类,2024,750,传统文理
231,231,1484,532696,河南,物理类,2024,750,传统文理
230,230,687,533383,河南,物理类,2024,750,传统文理
229,229,744,534127,河南,物理类,2024,750,传统文理
228,228,724,534851,河南,物理类,2024,750,传统文理
227,227,754,535605,河南,物理类,2024,750,传统文理
226,226,662,536267,河南,物理类,2024,750,传统文理
225,225,693,536960,河南,物理类,2024,750,传统文理
224,224,677,537637,河南,物理类,2024,750,传统文理
223,223,702,538339,河南,物理类,2024,750,传统文理
222,222,673,539012,河南,物理类,2024,750,传统文理
221,221,723,539735,河南,物理类,2024,750,传统文理
220,220,651,540386,河南,物理类,2024,750,传统文理
219,219,669,541055,河南,物理类,2024,750,传统文理
218,218,612,541667,河南,物理类,2024,750,传统文理
217,217,669,542336,河南,物理类,2024,750,传统文理
212,212,3111,545447,河南,物理类,2024,750,传统文理
211,211,586,546033,河南,物理类,2024,750,传统文理
210,210,598,546631,河南,物理类,2024,750,传统文理
209,209,574,547205,河南,物理类,2024,750,传统文理
208,208,560,547765,河南,物理类,2024,750,传统文理
207,207,585,548350,河南,物理类,2024,750,传统文理
206,206,601,548951,河南,物理类,2024,750,传统文理
205,205,633,549584,河南,物理类,2024,750,传统文理
204,204,572,550156,河南,物理类,2024,750,传统文理
203,203,559,550715,河南,物理类,2024,750,传统文理
196,196,3703,554418,河南,物理类,2024,750,传统文理
195,195,503,554921,河南,物理类,2024,750,传统文理
194,194,475,555396,河南,物理类,2024,750,传统文理
193,193,448,555844,河南,物理类,2024,750,传统文理
192,192,500,556344,河南,物理类,2024,750,传统文理
190,190,937,557281,河南,物理类,2024,750,传统文理
188,188,918,558199,河南,物理类,2024,750,传统文理
187,187,454,558653,河南,物理类,2024,750,传统文理
186,186,468,559121,河南,物理类,2024,750,传统文理
185,185,423,559544,河南,物理类,2024,750,传统文理
184,184,425,559969,河南,物理类,2024,750,传统文理
183,183,399,560368,河南,物理类,2024,750,传统文理
182,182,427,560795,河南,物理类,2024,750,传统文理
181,181,395,561190,河南,物理类,2024,750,传统文理
180,180,395,561585,河南,物理类,2024,750,传统文理
179,179,366,561951,河南,物理类,2024,750,传统文理
178,178,393,562344,河南,物理类,2024,750,传统文理
175,175,1118,563462,河南,物理类,2024,750,传统文理
173,173,725,564187,河南,物理类,2024,750,传统文理
172,172,386,564573,河南,物理类,2024,750,传统文理
171,171,318,564891,河南,物理类,2024,750,传统文理
170,170,326,565217,河南,物理类,2024,750,传统文理
169,169,317,565534,河南,物理类,2024,750,传统文理
168,168,334,565868,河南,物理类,2024,750,传统文理
165,165,825,566693,河南,物理类,2024,750,传统文理
164,164,293,566986,河南,物理类,2024,750,传统文理
163,163,309,567295,河南,物理类,2024,750,传统文理
162,162,250,567545,河南,物理类,2024,750,传统文理
161,161,283,567828,河南,物理类,2024,750,传统文理
160,160,267,568095,河南,物理类,2024,750,传统文理
159,159,260,568355,河南,物理类,2024,750,传统文理
158,158,212,568567,河南,物理类,2024,750,传统文理
157,157,218,568785,河南,物理类,2024,750,传统文理
156,156,231,569016,河南,物理类,2024,750,传统文理
155,155,204,569220,河南,物理类,2024,750,传统文理
154,154,194,569414,河南,物理类,2024,750,传统文理
150,150,786,570200,河南,物理类,2024,750,传统文理
149,149,157,570357,河南,物理类,2024,750,传统文理
148,148,168,570525,河南,物理类,2024,750,传统文理
147,147,148,570673,河南,物理类,2024,750,传统文理
146,146,159,570832,河南,物理类,2024,750,传统文理
145,145,148,570980,河南,物理类,2024,750,传统文理
144,144,134,571114,河南,物理类,2024,750,传统文理
143,143,133,571247,河南,物理类,2024,750,传统文理
142,142,109,571356,河南,物理类,2024,750,传统文理
141,141,110,571466,河南,物理类,2024,750,传统文理
140,140,116,571582,河南,物理类,2024,750,传统文理
139,139,117,571699,河南,物理类,2024,750,传统文理
138,138,104,571803,河南,物理类,2024,750,传统文理
137,137,93,571896,河南,物理类,2024,750,传统文理
136,136,109,572005,河南,物理类,2024,750,传统文理
115,115,1174,573179,河南,物理类,2024,750,传统文理
114,114,26,573205,河南,物理类,2024,750,传统文理
113,113,36,573241,河南,物理类,2024,750,传统文理
112,112,23,573264,河南,物理类,2024,750,传统文理
111,111,28,573292,河南,物理类,2024,750,传统文理
107,107,97,573389,河南,物理类,2024,750,传统文理
106,106,15,573404,河南,物理类,2024,750,传统文理
685,685,15,15,河南,历史类,2024,750,传统文理
684,684,2,17,河南,历史类,2024,750,传统文理
683,683,2,19,河南,历史类,2024,750,传统文理
682,682,3,22,河南,历史类,2024,750,传统文理
681,681,2,24,河南,历史类,2024,750,传统文理
680,680,2,26,河南,历史类,2024,750,传统文理
679,679,3,29,河南,历史类,2024,750,传统文理
678,678,2,31,河南,历史类,2024,750,传统文理
677,677,2,33,河南,历史类,2024,750,传统文理
676,676,3,36,河南,历史类,2024,750,传统文理
675,675,2,38,河南,历史类,2024,750,传统文理
674,674,2,40,河南,历史类,2024,750,传统文理
673,673,3,43,河南,历史类,2024,750,传统文理
672,672,2,45,河南,历史类,2024,750,传统文理
671,671,2,47,河南,历史类,2024,750,传统文理
670,670,3,50,河南,历史类,2024,750,传统文理
669,669,7,57,河南,历史类,2024,750,传统文理
668,668,7,64,河南,历史类,2024,750,传统文理
667,667,7,71,河南,历史类,2024,750,传统文理
666,666,7,78,河南,历史类,2024,750,传统文理
665,665,7,85,河南,历史类,2024,750,传统文理
664,664,7,92,河南,历史类,2024,750,传统文理
663,663,7,99,河南,历史类,2024,750,传统文理
662,662,7,106,河南,历史类,2024,750,传统文理
661,661,7,113,河南,历史类,2024,750,传统文理
660,660,7,120,河南,历史类,2024,750,传统文理
659,659,23,143,河南,历史类,2024,750,传统文理
658,658,23,166,河南,历史类,2024,750,传统文理
657,657,23,189,河南,历史类,2024,750,传统文理
656,656,23,212,河南,历史类,2024,750,传统文理
655,655,23,235,河南,历史类,2024,750,传统文理
654,654,23,258,河南,历史类,2024,750,传统文理
653,653,23,281,河南,历史类,2024,750,传统文理
652,652,23,304,河南,历史类,2024,750,传统文理
651,651,23,327,河南,历史类,2024,750,传统文理
650,650,23,350,河南,历史类,2024,750,传统文理
649,649,45,395,河南,历史类,2024,750,传统文理
648,648,45,440,河南,历史类,2024,750,传统文理
647,647,45,485,河南,历史类,2024,750,传统文理
646,646,45,530,河南,历史类,2024,750,传统文理
645,645,45,575,河南,历史类,2024,750,传统文理
644,644,45,620,河南,历史类,2024,750,传统文理
643,643,45,665,河南,历史类,2024,750,传统文理
642,642,45,710,河南,历史类,2024,750,传统文理
641,641,45,755,河南,历史类,2024,750,传统文理
640,640,45,800,河南,历史类,2024,750,传统文理
639,639,70,870,河南,历史类,2024,750,传统文理
638,638,70,940,河南,历史类,2024,750,传统文理
637,637,70,1010,河南,历史类,2024,750,传统文理
636,636,70,1080,河南,历史类,2024,750,传统文理
635,635,70,1150,河南,历史类,2024,750,传统文理
634,634,70,1220,河南,历史类,2024,750,传统文理
633,633,70,1290,河南,历史类,2024,750,传统文理
632,632,70,1360,河南,历史类,2024,750,传统文理
631,631,70,1430,河南,历史类,2024,750,传统文理
630,630,70,1500,河南,历史类,2024,750,传统文理
629,629,150,1650,河南,历史类,2024,750,传统文理
628,628,150,1800,河南,历史类,2024,750,传统文理
627,627,150,1950,河南,历史类,2024,750,传统文理
626,626,150,2100,河南,历史类,2024,750,传统文理
625,625,150,2250,河南,历史类,2024,750,传统文理
624,624,150,2400,河南,历史类,2024,750,传统文理
623,623,150,2550,河南,历史类,2024,750,传统文理
622,622,150,2700,河南,历史类,2024,750,传统文理
621,621,150,2850,河南,历史类,2024,750,传统文理
620,620,150,3000,河南,历史类,2024,750,传统文理
619,619,250,3250,河南,历史类,2024,750,传统文理
618,618,250,3500,河南,历史类,2024,750,传统文理
617,617,250,3750,河南,历史类,2024,750,传统文理
616,616,250,4000,河南,历史类,2024,750,传统文理
615,615,250,4250,河南,历史类,2024,750,传统文理
614,614,250,4500,河南,历史类,2024,750,传统文理
613,613,250,4750,河南,历史类,2024,750,传统文理
612,612,250,5000,河南,历史类,2024,750,传统文理
