最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
709,709,10,10,河南,物理类,2024,750,传统文理
708,708,3,13,河南,物理类,2024,750,传统文理
707,707,4,17,河南,物理类,2024,750,传统文理
706,706,4,21,河南,物理类,2024,750,传统文理
705,705,2,23,河南,物理类,2024,750,传统文理
704,704,5,28,河南,物理类,2024,750,传统文理
703,703,5,33,河南,物理类,2024,750,传统文理
699,699,31,64,河南,物理类,2024,750,传统文理
698,698,11,75,河南,物理类,2024,750,传统文理
697,697,6,81,河南,物理类,2024,750,传统文理
696,696,13,94,河南,物理类,2024,750,传统文理
695,695,17,111,河南,物理类,2024,750,传统文理
694,694,17,128,河南,物理类,2024,750,传统文理
693,693,22,150,河南,物理类,2024,750,传统文理
692,692,24,174,河南,物理类,2024,750,传统文理
691,691,19,193,河南,物理类,2024,750,传统文理
690,690,22,215,河南,物理类,2024,750,传统文理
689,689,24,239,河南,物理类,2024,750,传统文理
688,688,35,274,河南,物理类,2024,750,传统文理
684,684,134,408,河南,物理类,2024,750,传统文理
683,683,36,444,河南,物理类,2024,750,传统文理
682,682,47,491,河南,物理类,2024,750,传统文理
681,681,30,521,河南,物理类,2024,750,传统文理
680,680,52,573,河南,物理类,2024,750,传统文理
679,679,35,608,河南,物理类,2024,750,传统文理
678,678,76,684,河南,物理类,2024,750,传统文理
676,676,128,812,河南,物理类,2024,750,传统文理
674,674,146,958,河南,物理类,2024,750,传统文理
673,673,66,1024,河南,物理类,2024,750,传统文理
672,672,71,1095,河南,物理类,2024,750,传统文理
671,671,85,1180,河南,物理类,2024,750,传统文理
670,670,66,1246,河南,物理类,2024,750,传统文理
669,669,72,1318,河南,物理类,2024,750,传统文理
668,668,92,1410,河南,物理类,2024,750,传统文理
667,667,99,1509,河南,物理类,2024,750,传统文理
666,666,95,1604,河南,物理类,2024,750,传统文理
665,665,110,1714,河南,物理类,2024,750,传统文理
663,663,228,1942,河南,物理类,2024,750,传统文理
661,661,215,2157,河南,物理类,2024,750,传统文理
659,659,248,2405,河南,物理类,2024,750,传统文理
658,658,141,2546,河南,物理类,2024,750,传统文理
657,657,116,2662,河南,物理类,2024,750,传统文理
656,656,147,2809,河南,物理类,2024,750,传统文理
655,655,146,2955,河南,物理类,2024,750,传统文理
654,654,165,3120,河南,物理类,2024,750,传统文理
651,651,488,3608,河南,物理类,2024,750,传统文理
650,650,176,3784,河南,物理类,2024,750,传统文理
649,649,171,3955,河南,物理类,2024,750,传统文理
648,648,198,4153,河南,物理类,2024,750,传统文理
647,647,179,4332,河南,物理类,2024,750,传统文理
646,646,219,4551,河南,物理类,2024,750,传统文理
645,645,193,4744,河南,物理类,2024,750,传统文理
644,644,222,4966,河南,物理类,2024,750,传统文理
643,643,211,5177,河南,物理类,2024,750,传统文理
642,642,208,5385,河南,物理类,2024,750,传统文理
641,641,250,5635,河南,物理类,2024,750,传统文理
640,640,220,5855,河南,物理类,2024,750,传统文理
639,639,265,6120,河南,物理类,2024,750,传统文理
638,638,293,6413,河南,物理类,2024,750,传统文理
636,636,552,6965,河南,物理类,2024,750,传统文理
635,635,284,7249,河南,物理类,2024,750,传统文理
634,634,299,7548,河南,物理类,2024,750,传统文理
633,633,283,7831,河南,物理类,2024,750,传统文理
632,632,308,8139,河南,物理类,2024,750,传统文理
631,631,305,8444,河南,物理类,2024,750,传统文理
630,630,366,8810,河南,物理类,2024,750,传统文理
629,629,323,9133,河南,物理类,2024,750,传统文理
628,628,365,9498,河南,物理类,2024,750,传统文理
627,627,341,9839,河南,物理类,2024,750,传统文理
