最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
710,710,12,12,河南,物理类,2025,750,3+1+2
709,709,7,19,河南,物理类,2025,750,3+1+2
708,708,4,23,河南,物理类,2025,750,3+1+2
707,707,4,27,河南,物理类,2025,750,3+1+2
706,706,6,33,河南,物理类,2025,750,3+1+2
705,705,8,41,河南,物理类,2025,750,3+1+2
704,704,11,52,河南,物理类,2025,750,3+1+2
703,703,14,66,河南,物理类,2025,750,3+1+2
702,702,16,82,河南,物理类,2025,750,3+1+2
700,700,26,108,河南,物理类,2025,750,3+1+2
699,699,14,122,河南,物理类,2025,750,3+1+2
698,698,29,151,河南,物理类,2025,750,3+1+2
697,697,35,186,河南,物理类,2025,750,3+1+2
696,696,27,213,河南,物理类,2025,750,3+1+2
695,695,28,241,河南,物理类,2025,750,3+1+2
694,694,31,272,河南,物理类,2025,750,3+1+2
693,693,41,313,河南,物理类,2025,750,3+1+2
692,692,26,339,河南,物理类,2025,750,3+1+2
691,691,41,380,河南,物理类,2025,750,3+1+2
690,690,36,416,河南,物理类,2025,750,3+1+2
689,689,45,461,河南,物理类,2025,750,3+1+2
688,688,50,511,河南,物理类,2025,750,3+1+2
687,687,55,566,河南,物理类,2025,750,3+1+2
685,685,129,695,河南,物理类,2025,750,3+1+2
684,684,84,779,河南,物理类,2025,750,3+1+2
683,683,78,857,河南,物理类,2025,750,3+1+2
682,682,104,961,河南,物理类,2025,750,3+1+2
681,681,86,1047,河南,物理类,2025,750,3+1+2
680,680,99,1146,河南,物理类,2025,750,3+1+2
679,679,131,1277,河南,物理类,2025,750,3+1+2
677,677,232,1509,河南,物理类,2025,750,3+1+2
675,675,254,1763,河南,物理类,2025,750,3+1+2
674,674,154,1917,河南,物理类,2025,750,3+1+2
673,673,144,2061,河南,物理类,2025,750,3+1+2
672,672,169,2230,河南,物理类,2025,750,3+1+2
671,671,165,2395,河南,物理类,2025,750,3+1+2
670,670,184,2579,河南,物理类,2025,750,3+1+2
669,669,162,2741,河南,物理类,2025,750,3+1+2
668,668,198,2939,河南,物理类,2025,750,3+1+2
667,667,232,3171,河南,物理类,2025,750,3+1+2
666,666,216,3387,河南,物理类,2025,750,3+1+2
664,664,451,3838,河南,物理类,2025,750,3+1+2
662,662,478,4316,河南,物理类,2025,750,3+1+2
