最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
660,660,558,4874,河南,物理类,2025,750,3+1+2
659,659,273,5147,河南,物理类,2025,750,3+1+2
658,658,309,5456,河南,物理类,2025,750,3+1+2
657,657,302,5758,河南,物理类,2025,750,3+1+2
656,656,362,6120,河南,物理类,2025,750,3+1+2
655,655,321,6441,河南,物理类,2025,750,3+1+2
652,652,1070,7511,河南,物理类,2025,750,3+1+2
651,651,403,7914,河南,物理类,2025,750,3+1+2
650,650,367,8281,河南,物理类,2025,750,3+1+2
649,649,406,8687,河南,物理类,2025,750,3+1+2
648,648,443,9130,河南,物理类,2025,750,3+1+2
647,647,407,9537,河南,物理类,2025,750,3+1+2
646,646,452,9989,河南,物理类,2025,750,3+1+2
645,645,456,10445,河南,物理类,2025,750,3+1+2
644,644,441,10886,河南,物理类,2025,750,3+1+2
643,643,484,11370,河南,物理类,2025,750,3+1+2
642,642,472,11842,河南,物理类,2025,750,3+1+2
641,641,511,12353,河南,物理类,2025,750,3+1+2
640,640,517,12870,河南,物理类,2025,750,3+1+2
639,639,534,13404,河南,物理类,2025,750,3+1+2
637,637,1096,14500,河南,物理类,2025,750,3+1+2
636,636,566,15066,河南,物理类,2025,750,3+1+2
635,635,661,15727,河南,物理类,2025,750,3+1+2
634,634,630,16357,河南,物理类,2025,750,3+1+2
633,633,641,16998,河南,物理类,2025,750,3+1+2
632,632,634,17632,河南,物理类,2025,750,3+1+2
631,631,610,18242,河南,物理类,2025,750,3+1+2
630,630,681,18923,河南,物理类,2025,750,3+1+2
629,629,676,19599,河南,物理类,2025,750,3+1+2
628,628,663,20262,河南,物理类,2025,750,3+1+2
627,627,677,20939,河南,物理类,2025,750,3+1+2
626,626,747,21686,河南,物理类,2025,750,3+1+2
625,625,764,22450,河南,物理类,2025,750,3+1+2
624,624,754,23204,河南,物理类,2025,750,3+1+2
623,623,776,23980,河南,物理类,2025,750,3+1+2
622,622,784,24764,河南,物理类,2025,750,3+1+2
619,619,2475,27239,河南,物理类,2025,750,3+1+2
618,618,849,28088,河南,物理类,2025,750,3+1+2
617,617,901,28989,河南,物理类,2025,750,3+1+2
616,616,941,29930,河南,物理类,2025,750,3+1+2
615,615,882,30812,河南,物理类,2025,750,3+1+2
614,614,893,31705,河南,物理类,2025,750,3+1+2
613,613,902,32607,河南,物理类,2025,750,3+1+2
612,612,962,33569,河南,物理类,2025,750,3+1+2
611,611,1000,34569,河南,物理类,2025,750,3+1+2
610,610,955,35524,河南,物理类,2025,750,3+1+2
609,609,962,36486,河南,物理类,2025,750,3+1+2
608,608,987,37473,河南,物理类,2025,750,3+1+2
607,607,1025,38498,河南,物理类,2025,750,3+1+2
606,606,1020,39518,河南,物理类,2025,750,3+1+2
604,604,2145,41663,河南,物理类,2025,750,3+1+2
603,603,1049,42712,河南,物理类,2025,750,3+1+2
602,602,1059,43771,河南,物理类,2025,750,3+1+2
601,601,1072,44843,河南,物理类,2025,750,3+1+2
600,600,1044,45887,河南,物理类,2025,750,3+1+2
599,599,1123,47010,河南,物理类,2025,750,3+1+2
598,598,1121,48131,河南,物理类,2025,750,3+1+2
596,596,2390,50521,河南,物理类,2025,750,3+1+2
594,594,2328,52849,河南,物理类,2025,750,3+1+2
593,593,1210,54059,河南,物理类,2025,750,3+1+2
592,592,1239,55298,河南,物理类,2025,750,3+1+2
591,591,1327,56625,河南,物理类,2025,750,3+1+2
590,590,1322,57947,河南,物理类,2025,750,3+1+2
589,589,1293,59240,河南,物理类,2025,750,3+1+2
588,588,1248,60488,河南,物理类,2025,750,3+1+2
587,587,1230,61718,河南,物理类,2025,750,3+1+2
586,586,1307,63025,河南,物理类,2025,750,3+1+2
585,585,1400,64425,河南,物理类,2025,750,3+1+2
584,584,1284,65709,河南,物理类,2025,750,3+1+2
583,583,1411,67120,河南,物理类,2025,750,3+1+2
581,581,2751,69871,河南,物理类,2025,750,3+1+2
579,579,2803,72674,河南,物理类,2025,750,3+1+2
578,578,1405,74079,河南,物理类,2025,750,3+1+2
577,577,1505,75584,河南,物理类,2025,750,3+1+2
576,576,1367,76951,河南,物理类,2025,750,3+1+2
575,575,1417,78368,河南,物理类,2025,750,3+1+2
574,574,1499,79867,河南,物理类,2025,750,3+1+2
571,571,4435,84302,河南,物理类,2025,750,3+1+2
570,570,1545,85847,河南,物理类,2025,750,3+1+2
569,569,1450,87297,河南,物理类,2025,750,3+1+2
568,568,1478,88775,河南,物理类,2025,750,3+1+2
567,567,1457,90232,河南,物理类,2025,750,3+1+2
566,566,1500,91732,河南,物理类,2025,750,3+1+2
565,565,1537,93269,河南,物理类,2025,750,3+1+2
564,564,1574,94843,河南,物理类,2025,750,3+1+2
563,563,1617,96460,河南,物理类,2025,750,3+1+2
562,562,1604,98064,河南,物理类,2025,750,3+1+2
561,561,1617,99681,河南,物理类,2025,750,3+1+2
560,560,1598,101279,河南,物理类,2025,750,3+1+2
559,559,1649,102928,河南,物理类,2025,750,3+1+2
558,558,1625,104553,河南,物理类,2025,750,3+1+2
556,556,3166,107719,河南,物理类,2025,750,3+1+2
555,555,1595,109314,河南,物理类,2025,750,3+1+2
554,554,1637,110951,河南,物理类,2025,750,3+1+2
553,553,1717,112668,河南,物理类,2025,750,3+1+2
552,552,1680,114348,河南,物理类,2025,750,3+1+2
551,551,1730,116078,河南,物理类,2025,750,3+1+2
550,550,1751,117829,河南,物理类,2025,750,3+1+2
549,549,1703,119532,河南,物理类,2025,750,3+1+2
548,548,1677,121209,河南,物理类,2025,750,3+1+2
547,547,1764,122973,河南,物理类,2025,750,3+1+2
546,546,1799,124772,河南,物理类,2025,750,3+1+2
545,545,1705,126477,河南,物理类,2025,750,3+1+2
544,544,1676,128153,河南,物理类,2025,750,3+1+2
543,543,1673,129826,河南,物理类,2025,750,3+1+2
542,542,1742,131568,河南,物理类,2025,750,3+1+2
541,541,1749,133317,河南,物理类,2025,750,3+1+2
537,537,7112,140429,河南,物理类,2025,750,3+1+2
536,536,1763,142192,河南,物理类,2025,750,3+1+2
535,535,1784,143976,河南,物理类,2025,750,3+1+2
534,534,1877,145853,河南,物理类,2025,750,3+1+2
533,533,1848,147701,河南,物理类,2025,750,3+1+2
532,532,1857,149558,河南,物理类,2025,750,3+1+2
531,531,1806,151364,河南,物理类,2025,750,3+1+2
530,530,1806,153170,河南,物理类,2025,750,3+1+2
529,529,1807,154977,河南,物理类,2025,750,3+1+2
528,528,1773,156750,河南,物理类,2025,750,3+1+2
527,527,1814,158564,河南,物理类,2025,750,3+1+2
523,523,7363,165927,河南,物理类,2025,750,3+1+2
522,522,1825,167752,河南,物理类,2025,750,3+1+2
521,521,1902,169654,河南,物理类,2025,750,3+1+2
520,520,1932,171586,河南,物理类,2025,750,3+1+2
519,519,1802,173388,河南,物理类,2025,750,3+1+2
518,518,1879,175267,河南,物理类,2025,750,3+1+2
517,517,1828,177095,河南,物理类,2025,750,3+1+2
515,515,3769,180864,河南,物理类,2025,750,3+1+2
513,513,3768,184632,河南,物理类,2025,750,3+1+2
512,512,1878,186510,河南,物理类,2025,750,3+1+2
511,511,1805,188315,河南,物理类,2025,750,3+1+2
510,510,1913,190228,河南,物理类,2025,750,3+1+2
509,509,1966,192194,河南,物理类,2025,750,3+1+2
508,508,1899,194093,河南,物理类,2025,750,3+1+2
507,507,1915,196008,河南,物理类,2025,750,3+1+2
506,506,1949,197957,河南,物理类,2025,750,3+1+2
505,505,1953,199910,河南,物理类,2025,750,3+1+2
504,504,2001,201911,河南,物理类,2025,750,3+1+2
503,503,1988,203899,河南,物理类,2025,750,3+1+2
502,502,1919,205818,河南,物理类,2025,750,3+1+2
500,500,3877,209695,河南,物理类,2025,750,3+1+2
498,498,3801,213496,河南,物理类,2025,750,3+1+2
497,497,1915,215411,河南,物理类,2025,750,3+1+2
496,496,2028,217439,河南,物理类,2025,750,3+1+2
495,495,1938,219377,河南,物理类,2025,750,3+1+2
494,494,1928,221305,河南,物理类,2025,750,3+1+2
493,493,1960,223265,河南,物理类,2025,750,3+1+2
490,490,5829,229094,河南,物理类,2025,750,3+1+2
489,489,1906,231000,河南,物理类,2025,750,3+1+2
488,488,1985,232985,河南,物理类,2025,750,3+1+2
487,487,1933,234918,河南,物理类,2025,750,3+1+2
486,486,1884,236802,河南,物理类,2025,750,3+1+2
485,485,2022,238824,河南,物理类,2025,750,3+1+2
484,484,1953,240777,河南,物理类,2025,750,3+1+2
483,483,2013,242790,河南,物理类,2025,750,3+1+2
482,482,1922,244712,河南,物理类,2025,750,3+1+2
481,481,1998,246710,河南,物理类,2025,750,3+1+2
480,480,1977,248687,河南,物理类,2025,750,3+1+2
479,479,1898,250585,河南,物理类,2025,750,3+1+2
478,478,1970,252555,河南,物理类,2025,750,3+1+2
477,477,1956,254511,河南,物理类,2025,750,3+1+2
475,475,3946,258457,河南,物理类,2025,750,3+1+2
474,474,1913,260370,河南,物理类,2025,750,3+1+2
473,473,1920,262290,河南,物理类,2025,750,3+1+2
472,472,1913,264203,河南,物理类,2025,750,3+1+2
471,471,1936,266139,河南,物理类,2025,750,3+1+2
470,470,1942,268081,河南,物理类,2025,750,3+1+2
469,469,1968,270049,河南,物理类,2025,750,3+1+2
468,468,1960,272009,河南,物理类,2025,750,3+1+2
467,467,2044,274053,河南,物理类,2025,750,3+1+2
466,466,1908,275961,河南,物理类,2025,750,3+1+2
465,465,1977,277938,河南,物理类,2025,750,3+1+2
464,464,1919,279857,河南,物理类,2025,750,3+1+2
463,463,1913,281770,河南,物理类,2025,750,3+1+2
462,462,1905,283675,河南,物理类,2025,750,3+1+2
461,461,1944,285619,河南,物理类,2025,750,3+1+2
460,460,1912,287531,河南,物理类,2025,750,3+1+2
457,457,5899,293430,河南,物理类,2025,750,3+1+2
456,456,1851,295281,河南,物理类,2025,750,3+1+2
455,455,1793,297074,河南,物理类,2025,750,3+1+2
454,454,1899,298973,河南,物理类,2025,750,3+1+2
453,453,1837,300810,河南,物理类,2025,750,3+1+2
452,452,1885,302695,河南,物理类,2025,750,3+1+2
451,451,1870,304565,河南,物理类,2025,750,3+1+2
450,450,1886,306451,河南,物理类,2025,750,3+1+2
449,449,1881,308332,河南,物理类,2025,750,3+1+2
448,448,1815,310147,河南,物理类,2025,750,3+1+2
447,447,1782,311929,河南,物理类,2025,750,3+1+2
446,446,1810,313739,河南,物理类,2025,750,3+1+2
445,445,1864,315603,河南,物理类,2025,750,3+1+2
442,442,5702,321305,河南,物理类,2025,750,3+1+2
441,441,1844,323149,河南,物理类,2025,750,3+1+2
440,440,1818,324967,河南,物理类,2025,750,3+1+2
439,439,1839,326806,河南,物理类,2025,750,3+1+2
438,438,1817,328623,河南,物理类,2025,750,3+1+2
437,437,1822,330445,河南,物理类,2025,750,3+1+2
436,436,1830,332275,河南,物理类,2025,750,3+1+2
434,434,3629,335904,河南,物理类,2025,750,3+1+2
432,432,3561,339465,河南,物理类,2025,750,3+1+2
431,431,1779,341244,河南,物理类,2025,750,3+1+2
430,430,1738,342982,河南,物理类,2025,750,3+1+2
429,429,1814,344796,河南,物理类,2025,750,3+1+2
428,428,1811,346607,河南,物理类,2025,750,3+1+2
427,427,1751,348358,河南,物理类,2025,750,3+1+2
426,426,1760,350118,河南,物理类,2025,750,3+1+2
425,425,1745,351863,河南,物理类,2025,750,3+1+2
424,424,1648,353511,河南,物理类,2025,750,3+1+2
423,423,1718,355229,河南,物理类,2025,750,3+1+2
422,422,1765,356994,河南,物理类,2025,750,3+1+2
421,421,1716,358710,河南,物理类,2025,750,3+1+2
419,419,3444,362154,河南,物理类,2025,750,3+1+2
417,417,3518,365672,河南,物理类,2025,750,3+1+2
416,416,1732,367404,河南,物理类,2025,750,3+1+2
415,415,1651,369055,河南,物理类,2025,750,3+1+2
414,414,1628,370683,河南,物理类,2025,750,3+1+2
413,413,1700,372383,河南,物理类,2025,750,3+1+2
412,412,1701,374084,河南,物理类,2025,750,3+1+2
409,409,4954,379038,河南,物理类,2025,750,3+1+2
408,408,1677,380715,河南,物理类,2025,750,3+1+2
407,407,1602,382317,河南,物理类,2025,750,3+1+2
406,406,1564,383881,河南,物理类,2025,750,3+1+2
405,405,1564,385445,河南,物理类,2025,750,3+1+2
404,404,1646,387091,河南,物理类,2025,750,3+1+2
403,403,1566,388657,河南,物理类,2025,750,3+1+2
402,402,1598,390255,河南,物理类,2025,750,3+1+2
401,401,1573,391828,河南,物理类,2025,750,3+1+2
400,400,1621,393449,河南,物理类,2025,750,3+1+2
399,399,1550,394999,河南,物理类,2025,750,3+1+2
398,398,1591,396590,河南,物理类,2025,750,3+1+2
397,397,1486,398076,河南,物理类,2025,750,3+1+2
396,396,1570,399646,河南,物理类,2025,750,3+1+2
394,394,3081,402727,河南,物理类,2025,750,3+1+2
393,393,1546,404273,河南,物理类,2025,750,3+1+2
392,392,1619,405892,河南,物理类,2025,750,3+1+2
391,391,1505,407397,河南,物理类,2025,750,3+1+2
390,390,1532,408929,河南,物理类,2025,750,3+1+2
389,389,1509,410438,河南,物理类,2025,750,3+1+2
388,388,1454,411892,河南,物理类,2025,750,3+1+2
387,387,1482,413374,河南,物理类,2025,750,3+1+2
386,386,1500,414874,河南,物理类,2025,750,3+1+2
385,385,1470,416344,河南,物理类,2025,750,3+1+2
384,384,1504,417848,河南,物理类,2025,750,3+1+2
383,383,1502,419350,河南,物理类,2025,750,3+1+2
382,382,1459,420809,河南,物理类,2025,750,3+1+2
381,381,1364,422173,河南,物理类,2025,750,3+1+2
380,380,1391,423564,河南,物理类,2025,750,3+1+2
379,379,1397,424961,河南,物理类,2025,750,3+1+2
375,375,5605,430566,河南,物理类,2025,750,3+1+2
374,374,1415,431981,河南,物理类,2025,750,3+1+2
373,373,1279,433260,河南,物理类,2025,750,3+1+2
372,372,1315,434575,河南,物理类,2025,750,3+1+2
371,371,1369,435944,河南,物理类,2025,750,3+1+2
370,370,1388,437332,河南,物理类,2025,750,3+1+2
369,369,1310,438642,河南,物理类,2025,750,3+1+2
368,368,1354,439996,河南,物理类,2025,750,3+1+2
367,367,1263,441259,河南,物理类,2025,750,3+1+2
366,366,1311,442570,河南,物理类,2025,750,3+1+2
365,365,1315,443885,河南,物理类,2025,750,3+1+2
364,364,1304,445189,河南,物理类,2025,750,3+1+2
363,363,1283,446472,河南,物理类,2025,750,3+1+2
361,361,2558,449030,河南,物理类,2025,750,3+1+2
360,360,1308,450338,河南,物理类,2025,750,3+1+2
359,359,1259,451597,河南,物理类,2025,750,3+1+2
358,358,1259,452856,河南,物理类,2025,750,3+1+2
357,357,1307,454163,河南,物理类,2025,750,3+1+2
356,356,1260,455423,河南,物理类,2025,750,3+1+2
355,355,1229,456652,河南,物理类,2025,750,3+1+2
353,353,2463,459115,河南,物理类,2025,750,3+1+2
351,351,2456,461571,河南,物理类,2025,750,3+1+2
350,350,1161,462732,河南,物理类,2025,750,3+1+2
349,349,1130,463862,河南,物理类,2025,750,3+1+2
348,348,1134,464996,河南,物理类,2025,750,3+1+2
347,347,1200,466196,河南,物理类,2025,750,3+1+2
346,346,1135,467331,河南,物理类,2025,750,3+1+2
345,345,1176,468507,河南,物理类,2025,750,3+1+2
344,344,1143,469650,河南,物理类,2025,750,3+1+2
343,343,1159,470809,河南,物理类,2025,750,3+1+2
342,342,1094,471903,河南,物理类,2025,750,3+1+2
341,341,1072,472975,河南,物理类,2025,750,3+1+2
340,340,1163,474138,河南,物理类,2025,750,3+1+2
338,338,2204,476342,河南,物理类,2025,750,3+1+2
336,336,2165,478507,河南,物理类,2025,750,3+1+2
335,335,1064,479571,河南,物理类,2025,750,3+1+2
334,334,1037,480608,河南,物理类,2025,750,3+1+2
333,333,1073,481681,河南,物理类,2025,750,3+1+2
332,332,1123,482804,河南,物理类,2025,750,3+1+2
331,331,1039,483843,河南,物理类,2025,750,3+1+2
328,328,3022,486865,河南,物理类,2025,750,3+1+2
327,327,1027,487892,河南,物理类,2025,750,3+1+2
326,326,1037,488929,河南,物理类,2025,750,3+1+2
325,325,1005,489934,河南,物理类,2025,750,3+1+2
324,324,980,490914,河南,物理类,2025,750,3+1+2
323,323,980,491894,河南,物理类,2025,750,3+1+2
322,322,937,492831,河南,物理类,2025,750,3+1+2
321,321,943,493774,河南,物理类,2025,750,3+1+2
320,320,948,494722,河南,物理类,2025,750,3+1+2
319,319,964,495686,河南,物理类,2025,750,3+1+2
318,318,894,496580,河南,物理类,2025,750,3+1+2
317,317,922,497502,河南,物理类,2025,750,3+1+2
316,316,905,498407,河南,物理类,2025,750,3+1+2
315,315,909,499316,河南,物理类,2025,750,3+1+2
313,313,1751,501067,河南,物理类,2025,750,3+1+2
312,312,892,501959,河南,物理类,2025,750,3+1+2
311,311,911,502870,河南,物理类,2025,750,3+1+2
310,310,848,503718,河南,物理类,2025,750,3+1+2
309,309,849,504567,河南,物理类,2025,750,3+1+2
308,308,822,505389,河南,物理类,2025,750,3+1+2
307,307,822,506211,河南,物理类,2025,750,3+1+2
306,306,832,507043,河南,物理类,2025,750,3+1+2
305,305,792,507835,河南,物理类,2025,750,3+1+2
304,304,825,508660,河南,物理类,2025,750,3+1+2
303,303,813,509473,河南,物理类,2025,750,3+1+2
302,302,796,510269,河南,物理类,2025,750,3+1+2
301,301,820,511089,河南,物理类,2025,750,3+1+2
300,300,780,511869,河南,物理类,2025,750,3+1+2
299,299,741,512610,河南,物理类,2025,750,3+1+2
298,298,768,513378,河南,物理类,2025,750,3+1+2
294,294,2959,516337,河南,物理类,2025,750,3+1+2
293,293,786,517123,河南,物理类,2025,750,3+1+2
292,292,658,517781,河南,物理类,2025,750,3+1+2
291,291,726,518507,河南,物理类,2025,750,3+1+2
290,290,694,519201,河南,物理类,2025,750,3+1+2
289,289,707,519908,河南,物理类,2025,750,3+1+2
288,288,661,520569,河南,物理类,2025,750,3+1+2
287,287,664,521233,河南,物理类,2025,750,3+1+2
286,286,657,521890,河南,物理类,2025,750,3+1+2
285,285,665,522555,河南,物理类,2025,750,3+1+2
284,284,695,523250,河南,物理类,2025,750,3+1+2
283,283,670,523920,河南,物理类,2025,750,3+1+2
280,280,1869,525789,河南,物理类,2025,750,3+1+2
279,279,637,526426,河南,物理类,2025,750,3+1+2
278,278,587,527013,河南,物理类,2025,750,3+1+2
277,277,586,527599,河南,物理类,2025,750,3+1+2
276,276,605,528204,河南,物理类,2025,750,3+1+2
275,275,582,528786,河南,物理类,2025,750,3+1+2
274,274,592,529378,河南,物理类,2025,750,3+1+2
272,272,1117,530495,河南,物理类,2025,750,3+1+2
270,270,1090,531585,河南,物理类,2025,750,3+1+2
269,269,549,532134,河南,物理类,2025,750,3+1+2
268,268,536,532670,河南,物理类,2025,750,3+1+2
267,267,521,533191,河南,物理类,2025,750,3+1+2
266,266,525,533716,河南,物理类,2025,750,3+1+2
265,265,500,534216,河南,物理类,2025,750,3+1+2
264,264,474,534690,河南,物理类,2025,750,3+1+2
263,263,543,535233,河南,物理类,2025,750,3+1+2
262,262,501,535734,河南,物理类,2025,750,3+1+2
261,261,499,536233,河南,物理类,2025,750,3+1+2
260,260,455,536688,河南,物理类,2025,750,3+1+2
259,259,455,537143,河南,物理类,2025,750,3+1+2
257,257,900,538043,河南,物理类,2025,750,3+1+2
255,255,892,538935,河南,物理类,2025,750,3+1+2
254,254,466,539401,河南,物理类,2025,750,3+1+2
253,253,395,539796,河南,物理类,2025,750,3+1+2
252,252,405,540201,河南,物理类,2025,750,3+1+2
251,251,404,540605,河南,物理类,2025,750,3+1+2
250,250,393,540998,河南,物理类,2025,750,3+1+2
247,247,1116,542114,河南,物理类,2025,750,3+1+2
246,246,349,542463,河南,物理类,2025,750,3+1+2
245,245,357,542820,河南,物理类,2025,750,3+1+2
244,244,380,543200,河南,物理类,2025,750,3+1+2
243,243,353,543553,河南,物理类,2025,750,3+1+2
242,242,399,543952,河南,物理类,2025,750,3+1+2
241,241,329,544281,河南,物理类,2025,750,3+1+2
240,240,333,544614,河南,物理类,2025,750,3+1+2
239,239,323,544937,河南,物理类,2025,750,3+1+2
238,238,318,545255,河南,物理类,2025,750,3+1+2
237,237,283,545538,河南,物理类,2025,750,3+1+2
236,236,303,545841,河南,物理类,2025,750,3+1+2
235,235,277,546118,河南,物理类,2025,750,3+1+2
234,234,251,546369,河南,物理类,2025,750,3+1+2
232,232,543,546912,河南,物理类,2025,750,3+1+2
231,231,269,547181,河南,物理类,2025,750,3+1+2
230,230,289,547470,河南,物理类,2025,750,3+1+2
229,229,245,547715,河南,物理类,2025,750,3+1+2
228,228,274,547989,河南,物理类,2025,750,3+1+2
227,227,222,548211,河南,物理类,2025,750,3+1+2
226,226,245,548456,河南,物理类,2025,750,3+1+2
225,225,256,548712,河南,物理类,2025,750,3+1+2
224,224,217,548929,河南,物理类,2025,750,3+1+2
223,223,191,549120,河南,物理类,2025,750,3+1+2
222,222,208,549328,河南,物理类,2025,750,3+1+2
221,221,213,549541,河南,物理类,2025,750,3+1+2
220,220,181,549722,河南,物理类,2025,750,3+1+2
219,219,192,549914,河南,物理类,2025,750,3+1+2
218,218,188,550102,河南,物理类,2025,750,3+1+2
217,217,188,550290,河南,物理类,2025,750,3+1+2
214,214,493,550783,河南,物理类,2025,750,3+1+2
213,213,157,550940,河南,物理类,2025,750,3+1+2
212,212,157,551097,河南,物理类,2025,750,3+1+2
211,211,142,551239,河南,物理类,2025,750,3+1+2
210,210,145,551384,河南,物理类,2025,750,3+1+2
209,209,147,551531,河南,物理类,2025,750,3+1+2
208,208,142,551673,河南,物理类,2025,750,3+1+2
207,207,137,551810,河南,物理类,2025,750,3+1+2
206,206,121,551931,河南,物理类,2025,750,3+1+2
205,205,117,552048,河南,物理类,2025,750,3+1+2
204,204,115,552163,河南,物理类,2025,750,3+1+2
203,203,101,552264,河南,物理类,2025,750,3+1+2
202,202,103,552367,河南,物理类,2025,750,3+1+2
199,199,269,552636,河南,物理类,2025,750,3+1+2
198,198,96,552732,河南,物理类,2025,750,3+1+2
197,197,91,552823,河南,物理类,2025,750,3+1+2
196,196,95,552918,河南,物理类,2025,750,3+1+2
195,195,69,552987,河南,物理类,2025,750,3+1+2
194,194,80,553067,河南,物理类,2025,750,3+1+2
193,193,80,553147,河南,物理类,2025,750,3+1+2
191,191,142,553289,河南,物理类,2025,750,3+1+2
189,189,125,553414,河南,物理类,2025,750,3+1+2
188,188,57,553471,河南,物理类,2025,750,3+1+2
187,187,47,553518,河南,物理类,2025,750,3+1+2
186,186,52,553570,河南,物理类,2025,750,3+1+2
185,185,51,553621,河南,物理类,2025,750,3+1+2
184,184,56,553677,河南,物理类,2025,750,3+1+2
183,183,32,553709,河南,物理类,2025,750,3+1+2
182,182,46,553755,河南,物理类,2025,750,3+1+2
181,181,37,553792,河南,物理类,2025,750,3+1+2
180,180,47,553839,河南,物理类,2025,750,3+1+2
179,179,68,553907,河南,物理类,2025,750,3+1+2
178,178,43,553950,河南,物理类,2025,750,3+1+2
176,176,76,554026,河南,物理类,2025,750,3+1+2
174,174,72,554098,河南,物理类,2025,750,3+1+2
173,173,27,554125,河南,物理类,2025,750,3+1+2
172,172,34,554159,河南,物理类,2025,750,3+1+2
171,171,31,554190,河南,物理类,2025,750,3+1+2
170,170,26,554216,河南,物理类,2025,750,3+1+2
169,169,26,554242,河南,物理类,2025,750,3+1+2
166,166,70,554312,河南,物理类,2025,750,3+1+2
165,165,27,554339,河南,物理类,2025,750,3+1+2
164,164,22,554361,河南,物理类,2025,750,3+1+2
163,163,25,554386,河南,物理类,2025,750,3+1+2
162,162,25,554411,河南,物理类,2025,750,3+1+2
161,161,19,554430,河南,物理类,2025,750,3+1+2
160,160,26,554456,河南,物理类,2025,750,3+1+2
159,159,27,554483,河南,物理类,2025,750,3+1+2
158,158,22,554505,河南,物理类,2025,750,3+1+2
157,157,29,554534,河南,物理类,2025,750,3+1+2
156,156,14,554548,河南,物理类,2025,750,3+1+2
155,155,17,554565,河南,物理类,2025,750,3+1+2
153,153,41,554606,河南,物理类,2025,750,3+1+2
151,151,29,554635,河南,物理类,2025,750,3+1+2
150,150,24,554659,河南,物理类,2025,750,3+1+2
149,149,12,554671,河南,物理类,2025,750,3+1+2
148,148,12,554683,河南,物理类,2025,750,3+1+2
147,147,15,554698,河南,物理类,2025,750,3+1+2
146,146,12,554710,河南,物理类,2025,750,3+1+2
145,145,13,554723,河南,物理类,2025,750,3+1+2
144,144,19,554742,河南,物理类,2025,750,3+1+2
143,143,13,554755,河南,物理类,2025,750,3+1+2
142,142,8,554763,河南,物理类,2025,750,3+1+2
141,141,12,554775,河南,物理类,2025,750,3+1+2
140,140,10,554785,河南,物理类,2025,750,3+1+2
136,136,38,554823,河南,物理类,2025,750,3+1+2
133,133,31,554854,河南,物理类,2025,750,3+1+2
132,132,18,554872,河南,物理类,2025,750,3+1+2
131,131,7,554879,河南,物理类,2025,750,3+1+2
130,130,8,554887,河南,物理类,2025,750,3+1+2
129,129,13,554900,河南,物理类,2025,750,3+1+2
128,128,11,554911,河南,物理类,2025,750,3+1+2
127,127,6,554917,河南,物理类,2025,750,3+1+2
126,126,13,554930,河南,物理类,2025,750,3+1+2
125,125,5,554935,河南,物理类,2025,750,3+1+2
124,124,7,554942,河南,物理类,2025,750,3+1+2
123,123,5,554947,河南,物理类,2025,750,3+1+2
122,122,7,554954,河南,物理类,2025,750,3+1+2
121,121,5,554959,河南,物理类,2025,750,3+1+2
116,116,22,554981,河南,物理类,2025,750,3+1+2
